               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11927,            0.024946,            0.040204,          0.00014554,            0.007716,          7.3492e-05,          1.1744e-05,                 nan,                 nan,            0.097314,            0.070144,           0.0033173,           0.0033173
                   1,             0.10857,            0.022428,             0.03781,          0.00024096,           0.0061728,          0.00012195,          2.7432e-05,             0.10366,            0.015056,            0.037625,            0.040122,           0.0066287,           0.0066287
                   2,            0.088892,             0.01785,            0.035737,           0.0023528,             0.20833,           0.0051882,           0.0013923,              0.1037,            0.011229,            0.054692,            0.010078,           0.0099181,           0.0099181
                   3,            0.052882,            0.019103,            0.035254,             0.65145,             0.44707,             0.47403,             0.20781,            0.036515,            0.011535,             0.03491,            0.009901,            0.009901,            0.009901
                   4,            0.039874,            0.012959,            0.035062,             0.82028,             0.80297,              0.7993,              0.4693,            0.029252,           0.0079097,            0.033858,            0.009901,            0.009901,            0.009901
                   5,            0.034018,           0.0093517,            0.035184,             0.85242,              0.9003,             0.83501,             0.56439,            0.024989,           0.0061552,            0.033853,            0.009868,            0.009868,            0.009868
                   6,            0.031005,           0.0075575,            0.034921,             0.85768,             0.90895,             0.84833,              0.5957,            0.021449,           0.0053916,            0.033896,            0.009835,            0.009835,            0.009835
                   7,            0.028381,           0.0067213,            0.035027,             0.85244,             0.93056,             0.86238,             0.56699,            0.023059,           0.0049191,            0.033953,            0.009802,            0.009802,            0.009802
                   8,            0.027637,           0.0062163,             0.03502,             0.86079,             0.91604,             0.86283,             0.62499,            0.019411,           0.0046628,            0.033742,            0.009769,            0.009769,            0.009769
                   9,            0.025504,           0.0057638,            0.034889,             0.85926,             0.91393,             0.85788,             0.62735,            0.019157,            0.004433,            0.034465,            0.009736,            0.009736,            0.009736
                  10,            0.024711,           0.0055138,            0.034942,             0.85679,              0.9417,             0.88183,             0.66069,            0.017857,            0.004253,            0.034832,            0.009703,            0.009703,            0.009703
                  11,            0.023414,           0.0050912,            0.035001,             0.85387,             0.94444,             0.87349,             0.65109,            0.017794,             0.00417,            0.033266,             0.00967,             0.00967,             0.00967
                  12,            0.022496,           0.0049639,            0.034889,             0.86045,             0.95679,             0.86881,             0.64803,            0.017569,            0.003981,            0.034645,            0.009637,            0.009637,            0.009637
                  13,            0.022236,           0.0047592,            0.034685,             0.85694,             0.93365,             0.88075,             0.67388,            0.017492,           0.0040747,            0.033776,            0.009604,            0.009604,            0.009604
                  14,            0.020971,           0.0045646,            0.034939,             0.85343,             0.95216,             0.87542,             0.67033,            0.017847,           0.0038569,            0.034822,            0.009571,            0.009571,            0.009571
                  15,            0.021577,           0.0046274,            0.034616,             0.85809,              0.9429,             0.90532,             0.68068,            0.017254,            0.003775,            0.035577,            0.009538,            0.009538,            0.009538
                  16,             0.02035,           0.0044345,            0.034814,             0.85173,             0.94753,              0.8908,             0.68722,             0.01605,            0.003807,            0.033345,            0.009505,            0.009505,            0.009505
                  17,            0.020075,           0.0043316,            0.034785,             0.85597,             0.94907,             0.89741,             0.68187,               0.016,           0.0037993,            0.034444,            0.009472,            0.009472,            0.009472
                  18,            0.019599,           0.0042319,            0.034266,             0.85803,             0.95833,             0.90339,             0.69467,              0.0158,           0.0036175,            0.036419,            0.009439,            0.009439,            0.009439
                  19,            0.020205,           0.0042482,            0.033655,             0.85681,             0.95115,             0.90605,             0.68544,            0.017304,           0.0036772,            0.034195,            0.009406,            0.009406,            0.009406
                  20,            0.020145,           0.0042056,            0.032663,             0.86519,             0.96066,             0.91645,             0.67296,            0.017074,           0.0037218,            0.033737,            0.009373,            0.009373,            0.009373
                  21,            0.019833,           0.0041626,            0.030981,             0.86935,             0.94475,             0.92703,             0.70741,             0.01578,           0.0037268,            0.035424,             0.00934,             0.00934,             0.00934
                  22,            0.020831,           0.0043579,            0.029586,             0.84321,             0.94753,             0.91526,             0.68654,             0.01631,           0.0037118,            0.036221,            0.009307,            0.009307,            0.009307
                  23,            0.019673,           0.0042419,            0.026836,             0.85913,             0.92234,             0.89593,             0.69194,            0.016821,           0.0039512,            0.048154,            0.009274,            0.009274,            0.009274
                  24,            0.020799,           0.0041922,            0.025424,             0.84998,             0.91975,             0.92114,             0.68482,            0.016847,           0.0036024,            0.041295,            0.009241,            0.009241,            0.009241
                  25,            0.020861,           0.0041997,            0.024289,             0.82938,             0.92284,             0.90349,             0.67861,             0.01672,           0.0035684,             0.03887,            0.009208,            0.009208,            0.009208
                  26,            0.020244,            0.004208,            0.024291,             0.86588,             0.93673,             0.92281,              0.7057,            0.016325,           0.0036213,             0.04026,            0.009175,            0.009175,            0.009175
                  27,            0.020133,           0.0041087,            0.023175,             0.80387,             0.92977,             0.87702,             0.65106,            0.017257,           0.0037296,            0.044034,            0.009142,            0.009142,            0.009142
                  28,            0.020054,           0.0041657,            0.021882,             0.79991,             0.96142,             0.90321,             0.69686,            0.015592,           0.0035309,            0.042733,            0.009109,            0.009109,            0.009109
                  29,            0.020132,           0.0041327,            0.021191,             0.86628,             0.91976,             0.93655,             0.71736,            0.016396,           0.0035686,            0.041867,            0.009076,            0.009076,            0.009076
                  30,            0.019446,            0.004033,            0.019824,             0.85765,             0.89261,             0.91418,             0.69708,             0.01599,           0.0035719,            0.049761,            0.009043,            0.009043,            0.009043
                  31,            0.020035,           0.0040433,            0.019557,             0.82511,             0.93673,             0.89936,             0.69764,            0.016291,           0.0035452,            0.044894,             0.00901,             0.00901,             0.00901
                  32,            0.019187,           0.0040071,            0.019925,             0.86545,             0.93309,             0.94003,             0.72845,              0.0157,           0.0035486,            0.038137,            0.008977,            0.008977,            0.008977
                  33,            0.019407,           0.0041063,             0.01862,             0.81403,              0.9321,             0.91214,              0.6962,            0.016167,           0.0035199,                0.04,            0.008944,            0.008944,            0.008944
                  34,            0.018989,           0.0038385,            0.018736,             0.85991,             0.90895,             0.93059,             0.71973,            0.015734,           0.0035509,             0.04431,            0.008911,            0.008911,            0.008911
                  35,            0.019266,           0.0039961,            0.018525,             0.84733,             0.95072,             0.92269,             0.71425,            0.015757,           0.0034019,            0.047582,            0.008878,            0.008878,            0.008878
                  36,            0.018448,           0.0039564,            0.018132,             0.80028,             0.90895,             0.88681,             0.68679,            0.016201,           0.0036147,            0.046134,            0.008845,            0.008845,            0.008845
                  37,             0.01852,           0.0038221,            0.017395,             0.85205,             0.95099,             0.93762,              0.7277,            0.015442,            0.003497,            0.046288,            0.008812,            0.008812,            0.008812
                  38,             0.01848,           0.0039477,            0.017838,             0.85204,             0.93364,             0.93799,             0.72601,            0.015364,           0.0035269,            0.044877,            0.008779,            0.008779,            0.008779
                  39,            0.018521,           0.0039308,            0.017209,             0.85429,             0.95062,             0.94973,             0.73385,            0.015577,           0.0034235,            0.049807,            0.008746,            0.008746,            0.008746
                  40,             0.01877,            0.003922,            0.015763,             0.80489,             0.85802,             0.89701,             0.68936,            0.015585,            0.003566,            0.039714,            0.008713,            0.008713,            0.008713
                  41,             0.01867,           0.0039027,            0.015245,             0.90445,             0.92593,             0.94701,             0.72455,            0.016068,           0.0035101,            0.031594,             0.00868,             0.00868,             0.00868
