               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12069,            0.024745,            0.040974,          0.00034818,           0.0061728,          0.00012028,          3.2511e-05,             0.12138,            0.019016,             0.04606,            0.070144,           0.0033173,           0.0033173
                   1,             0.10906,            0.022444,            0.037828,                   0,                   0,                   0,                   0,                 nan,                 nan,            0.096349,            0.040131,           0.0066375,           0.0066375
                   2,            0.094844,            0.017236,            0.035971,            0.010369,            0.041667,           0.0018317,          0.00053478,              0.1105,            0.023245,            0.033428,            0.010105,           0.0099444,           0.0099444
                   3,            0.059268,            0.018719,            0.035278,             0.53534,             0.47222,             0.44322,             0.20366,            0.049351,            0.015317,            0.036684,           0.0099406,           0.0099406,           0.0099406
                   4,            0.041402,            0.013682,            0.035079,             0.74833,             0.71126,             0.71439,             0.46588,            0.027778,           0.0089905,            0.034554,           0.0099406,           0.0099406,           0.0099406
                   5,            0.035505,            0.010009,            0.035194,              0.8184,               0.875,             0.80538,              0.4971,             0.02572,           0.0063894,            0.033674,           0.0099208,           0.0099208,           0.0099208
                   6,            0.031617,           0.0078284,            0.034944,             0.83309,              0.8627,             0.83978,             0.56206,            0.022415,           0.0055262,            0.033554,            0.009901,            0.009901,            0.009901
                   7,            0.029345,           0.0070249,            0.034986,             0.85684,             0.89506,             0.85607,             0.61136,            0.021263,           0.0051819,            0.035298,           0.0098812,           0.0098812,           0.0098812
                   8,            0.027441,           0.0062973,            0.035021,             0.85412,             0.89448,             0.85031,             0.61192,            0.020133,           0.0048769,            0.034017,           0.0098614,           0.0098614,           0.0098614
                   9,            0.026105,           0.0058818,            0.034927,             0.85351,             0.92614,             0.86668,             0.63158,            0.018884,           0.0046411,            0.035424,           0.0098416,           0.0098416,           0.0098416
                  10,            0.024738,           0.0056197,            0.034959,             0.87036,             0.92593,             0.87482,             0.65365,            0.017333,            0.004154,            0.035144,           0.0098218,           0.0098218,           0.0098218
                  11,             0.02379,            0.005234,            0.035012,             0.86481,             0.93785,              0.8875,             0.67004,            0.017841,           0.0041441,            0.033642,            0.009802,            0.009802,            0.009802
                  12,            0.022651,           0.0051415,             0.03485,             0.85559,             0.94177,             0.87541,             0.65097,            0.017146,            0.004094,            0.035062,           0.0097822,           0.0097822,           0.0097822
                  13,            0.022476,           0.0048858,            0.034822,             0.86189,             0.92438,             0.87815,             0.66415,             0.01718,           0.0040467,            0.034157,           0.0097624,           0.0097624,           0.0097624
                  14,            0.021458,           0.0046722,            0.034984,             0.85819,             0.94753,              0.8926,             0.68838,            0.016323,           0.0037397,            0.034229,           0.0097426,           0.0097426,           0.0097426
                  15,            0.021314,           0.0046931,            0.034694,             0.85538,             0.95833,             0.91045,             0.66605,            0.016369,           0.0037893,            0.035562,           0.0097228,           0.0097228,           0.0097228
                  16,            0.021123,           0.0045637,            0.034901,             0.86737,             0.96451,             0.91716,             0.69234,            0.015874,           0.0037546,            0.033629,            0.009703,            0.009703,            0.009703
                  17,            0.020311,           0.0044244,            0.035027,             0.85406,             0.93022,             0.88035,             0.66358,              0.0173,           0.0039415,            0.035308,           0.0096832,           0.0096832,           0.0096832
                  18,            0.019391,           0.0043373,            0.034753,             0.86627,             0.96296,              0.9151,             0.68956,            0.016504,            0.003629,            0.035584,           0.0096634,           0.0096634,           0.0096634
                  19,            0.019994,           0.0042809,            0.034809,             0.86784,             0.96451,             0.91216,             0.70321,            0.015798,           0.0036504,            0.034797,           0.0096436,           0.0096436,           0.0096436
                  20,            0.019578,           0.0041411,            0.034747,             0.86315,             0.96361,             0.92786,             0.70958,            0.015661,           0.0036598,            0.033645,           0.0096238,           0.0096238,           0.0096238
                  21,            0.019093,           0.0041339,            0.034548,             0.86678,             0.96393,             0.92778,             0.71141,            0.015222,           0.0036189,            0.034495,            0.009604,            0.009604,            0.009604
                  22,            0.019302,            0.004277,            0.034084,              0.8631,             0.96759,             0.92032,             0.69639,            0.015971,           0.0035775,            0.035305,           0.0095842,           0.0095842,           0.0095842
                  23,            0.018984,           0.0041438,            0.032922,             0.85256,             0.96142,             0.91228,              0.6933,            0.015807,           0.0036664,            0.035061,           0.0095644,           0.0095644,           0.0095644
                  24,            0.019067,           0.0040686,            0.031977,             0.83077,             0.96759,             0.90561,             0.68647,            0.015725,           0.0036897,            0.036281,           0.0095446,           0.0095446,           0.0095446
                  25,             0.01921,           0.0040702,            0.030789,             0.85057,             0.95988,             0.91021,              0.7015,            0.015838,           0.0036432,            0.036751,           0.0095248,           0.0095248,           0.0095248
                  26,            0.020238,           0.0042104,            0.028644,             0.87204,             0.95702,             0.93135,             0.71875,            0.015804,           0.0036976,            0.043404,            0.009505,            0.009505,            0.009505
                  27,            0.020154,           0.0041721,            0.027934,             0.85776,             0.96296,              0.9048,             0.69668,            0.015953,           0.0037738,            0.042125,           0.0094852,           0.0094852,           0.0094852
                  28,            0.019827,           0.0043084,            0.026527,              0.8729,              0.9429,             0.91785,             0.69461,            0.016569,           0.0035993,             0.04348,           0.0094654,           0.0094654,           0.0094654
                  29,            0.020063,            0.004199,            0.024303,             0.81566,             0.92865,             0.88036,             0.65074,            0.017846,           0.0038394,            0.045283,           0.0094456,           0.0094456,           0.0094456
                  30,            0.019634,           0.0042036,            0.023308,             0.83782,             0.93519,             0.89607,             0.68305,            0.016565,           0.0036477,            0.046271,           0.0094258,           0.0094258,           0.0094258
                  31,            0.020753,            0.004153,            0.021941,             0.80683,              0.9537,             0.90246,             0.66095,            0.017141,           0.0035737,             0.03927,            0.009406,            0.009406,            0.009406
                  32,            0.019633,           0.0041608,            0.021563,             0.82922,             0.92747,             0.91105,             0.69649,            0.016172,           0.0035168,             0.04471,           0.0093862,           0.0093862,           0.0093862
                  33,            0.020238,           0.0042077,            0.018862,             0.85893,               0.949,             0.93455,             0.71098,            0.016387,            0.003483,             0.04249,           0.0093664,           0.0093664,           0.0093664
                  34,            0.020086,           0.0041121,            0.019916,             0.79014,             0.94907,             0.90386,             0.67221,            0.016499,           0.0036229,            0.046577,           0.0093466,           0.0093466,           0.0093466
                  35,            0.020421,           0.0043409,            0.019793,             0.83159,             0.94444,             0.89604,             0.68961,            0.016421,           0.0036558,             0.04823,           0.0093268,           0.0093268,           0.0093268
                  36,             0.01949,           0.0041349,             0.01782,             0.83963,             0.95337,             0.91593,             0.69298,            0.016634,           0.0035428,            0.047324,            0.009307,            0.009307,            0.009307
                  37,            0.019826,           0.0040792,             0.01623,             0.84692,             0.94444,             0.92299,             0.70151,             0.01695,           0.0035872,            0.046183,           0.0092872,           0.0092872,           0.0092872
                  38,            0.019919,            0.004197,            0.016883,             0.84749,             0.92617,             0.90135,             0.69146,            0.015735,           0.0036497,            0.053998,           0.0092674,           0.0092674,           0.0092674
                  39,            0.019167,           0.0040948,            0.017362,             0.84866,             0.94753,             0.93526,             0.72021,            0.015497,           0.0035012,            0.043104,           0.0092476,           0.0092476,           0.0092476
                  40,            0.019066,           0.0040151,            0.015474,             0.86426,             0.93342,               0.933,             0.70858,            0.015587,           0.0034102,            0.047062,           0.0092278,           0.0092278,           0.0092278
                  41,            0.019361,            0.004012,            0.014572,             0.81547,             0.97222,             0.90709,             0.69193,            0.015165,           0.0034604,             0.04938,            0.009208,            0.009208,            0.009208
                  42,            0.018742,           0.0039568,             0.01493,             0.83415,             0.95525,             0.92804,             0.72006,            0.015814,           0.0035764,            0.047988,           0.0091882,           0.0091882,           0.0091882
                  43,            0.018889,           0.0037873,            0.014097,             0.81762,             0.96914,             0.92625,             0.70784,            0.014941,           0.0033545,            0.047777,           0.0091684,           0.0091684,           0.0091684
                  44,            0.018646,           0.0039686,             0.01551,             0.84592,             0.95062,             0.92701,             0.72041,            0.015306,           0.0034707,            0.051696,           0.0091486,           0.0091486,           0.0091486
                  45,            0.018109,           0.0038458,            0.013926,             0.84521,             0.94375,             0.92764,             0.71425,            0.015484,           0.0034326,            0.052917,           0.0091288,           0.0091288,           0.0091288
                  46,            0.018546,           0.0038331,            0.013969,             0.85716,             0.97531,             0.94162,             0.73131,            0.014783,           0.0033923,            0.054694,            0.009109,            0.009109,            0.009109
                  47,            0.018418,           0.0037948,            0.014033,             0.87662,              0.9429,             0.95023,             0.74291,            0.014518,           0.0033192,            0.054871,           0.0090892,           0.0090892,           0.0090892
                  48,            0.018206,           0.0036598,            0.014364,             0.84985,             0.96914,             0.95253,             0.74042,            0.014619,           0.0033691,            0.049653,           0.0090694,           0.0090694,           0.0090694
                  49,            0.018016,           0.0037055,            0.013366,             0.84777,             0.96257,             0.94214,             0.73314,            0.014562,           0.0033531,            0.051909,           0.0090496,           0.0090496,           0.0090496
                  50,             0.01815,           0.0037222,            0.012587,             0.87189,             0.95578,             0.94287,             0.73867,            0.014692,           0.0033192,             0.06095,           0.0090298,           0.0090298,           0.0090298
                  51,            0.017976,           0.0036514,            0.013602,             0.84811,             0.96512,             0.94943,             0.74088,            0.015324,           0.0032577,            0.047913,             0.00901,             0.00901,             0.00901
                  52,            0.017691,           0.0037058,            0.013005,              0.8389,             0.95627,             0.92821,             0.71513,            0.014821,           0.0033957,            0.055845,           0.0089902,           0.0089902,           0.0089902
                  53,             0.01738,           0.0037511,            0.012986,              0.8314,             0.97531,             0.92173,             0.71496,            0.014412,           0.0034373,             0.05891,           0.0089704,           0.0089704,           0.0089704
                  54,            0.017734,           0.0037084,            0.012659,             0.88054,             0.96605,             0.96154,             0.74802,            0.014782,           0.0033209,            0.058951,           0.0089506,           0.0089506,           0.0089506
                  55,            0.017746,           0.0036915,             0.01339,             0.83827,             0.97685,                0.94,             0.73467,            0.014756,           0.0034098,            0.052005,           0.0089308,           0.0089308,           0.0089308
                  56,            0.017593,           0.0036417,            0.012985,             0.85082,             0.94599,             0.92851,             0.73007,            0.014828,           0.0033897,            0.055726,            0.008911,            0.008911,            0.008911
                  57,            0.017529,           0.0037365,            0.012659,             0.87602,             0.96759,              0.9606,             0.75067,            0.014543,            0.003241,            0.048269,           0.0088912,           0.0088912,           0.0088912
                  58,            0.017749,           0.0037526,            0.011625,             0.85559,             0.95084,             0.94948,             0.72862,            0.015371,           0.0034445,             0.04344,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018292,           0.0038276,            0.010396,              0.9575,             0.86912,             0.96401,             0.73665,            0.015624,           0.0034421,            0.033747,           0.0088516,           0.0088516,           0.0088516
                  60,            0.018384,           0.0038823,             0.01029,             0.90278,             0.93981,             0.96667,             0.74033,            0.016334,           0.0034256,            0.027423,           0.0088318,           0.0088318,           0.0088318
                  61,            0.018243,           0.0037751,           0.0096297,             0.84797,             0.93823,             0.94776,             0.73692,            0.015334,           0.0034665,            0.025418,            0.008812,            0.008812,            0.008812
                  62,             0.01798,           0.0037892,           0.0091399,             0.87155,             0.89969,             0.94485,             0.73182,            0.015629,           0.0035709,            0.022827,           0.0087922,           0.0087922,           0.0087922
                  63,            0.018299,           0.0038245,            0.008125,             0.93725,             0.90895,             0.96838,             0.77004,            0.016742,           0.0034286,            0.021278,           0.0087724,           0.0087724,           0.0087724
                  64,             0.01815,           0.0037765,           0.0075515,             0.91365,             0.90432,              0.9658,             0.75965,            0.015025,           0.0033823,              0.0221,           0.0087526,           0.0087526,           0.0087526
                  65,            0.017667,            0.003698,           0.0072649,              0.9282,             0.89781,             0.96753,             0.75771,            0.014768,           0.0034064,            0.018036,           0.0087328,           0.0087328,           0.0087328
                  66,            0.017938,            0.003782,           0.0082104,             0.94242,             0.91667,             0.97429,             0.77597,            0.014323,           0.0033007,            0.020232,            0.008713,            0.008713,            0.008713
                  67,             0.01797,           0.0037083,           0.0063713,              0.9479,             0.92901,             0.98321,             0.77087,             0.01481,           0.0033035,            0.014142,           0.0086932,           0.0086932,           0.0086932
                  68,            0.017725,           0.0037006,           0.0063869,             0.92364,             0.93332,             0.97527,             0.76145,             0.01517,           0.0032984,             0.01087,           0.0086734,           0.0086734,           0.0086734
                  69,            0.017437,           0.0036696,           0.0062494,             0.90976,             0.90234,             0.96539,             0.76124,            0.014501,           0.0033161,            0.018991,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017252,           0.0036522,           0.0072816,             0.95339,             0.91537,             0.97885,              0.7751,            0.014256,           0.0032605,            0.022402,           0.0086338,           0.0086338,           0.0086338
                  71,            0.017407,           0.0035317,           0.0064522,             0.98173,             0.91196,             0.98218,             0.78854,            0.014292,           0.0032988,            0.015014,            0.008614,            0.008614,            0.008614
                  72,            0.017254,           0.0037278,           0.0069182,              0.9448,             0.92453,             0.98176,             0.77786,            0.014853,           0.0032243,            0.021681,           0.0085942,           0.0085942,           0.0085942
